sample_id,cell_line,passage,study_part,percent_oxygen,treatment_clean,treatment_full,pdl,percent_lifespan,clinical_condition,donor_age,cell_type,sex,days_grown,telomere_length,telomere_length_cv,mtdna_cn,rnaseq_id,methylation_basename,clock_horvath1,clock_horvath2,clock_hannum,clock_phenoage,clock_grimage,clock_dnamtl,clock_dnamsen,clock_skin,clock_dunedin,grim_adm,grim_b2m,grim_cystatin,grim_gdf15,grim_leptin,grim_pai1,grim_timp1,pdl_norm,pdl_bin,has_rna,has_met,has_telomere,has_mtdna,has_img,has_clocks,n_modalities,rna_matrix_col,met_matrix_col,fold,senescence_score,sasp_score,mito_rna_score
207,hFB1,13.0,1,21,NAC,NAC_21,32.67,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.89,0.01,246.65,,203774260131_R03C01,61.75,25.0,2.56,42.6,50.5,5.16,-0.94,,0.703294277,377.3,1664865.5,720997.37,506.23,20324.49,9732.7,33897.07,0.5412524850894632,mid,False,True,True,True,True,True,4,,203774260131_R03C01 beta,2.0,,,
210,hFB1,16.0,1,21,NAC,NAC_21,42.23,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.61,0.02,323.89,,203774260141_R01C01,64.63,30.22,5.85,45.51,56.06,4.99,1.21,,0.556527204,390.79,1658531.62,791681.34,411.96,21653.35,3314.17,34327.59,0.6996355202120609,late,False,True,True,True,True,True,4,,203774260141_R01C01 beta,2.0,,,
212,hFB1,18.0,1,21,NAC,NAC_21,48.09,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.75,0.03,358.71,,203774260133_R04C01,62.26,33.38,9.12,43.79,56.33,4.95,0.06,,0.57556751,401.58,1683762.1,786455.42,572.56,23663.57,3657.62,34294.97,0.7967196819085488,late,False,True,True,True,True,True,4,,203774260133_R04C01 beta,2.0,,,
214,hFB1,20.0,1,21,NAC,NAC_21,51.23,,Normal,29.0,Primary Human Fibroblast (forearm),male,84.1,0.54,0.04,578.6,,203769830153_R05C01,62.57,35.72,13.04,44.92,57.88,4.93,0.82,,0.594686755,396.57,1738444.87,824617.36,457.22,24040.14,3426.34,34402.27,0.8487408880053015,late,False,True,True,True,True,True,4,,203769830153_R05C01 beta,2.0,,,
226,hFB2,10.0,1,21,NAC,NAC_21,21.12,,Normal,36.0,Primary Human Fibroblast (forearm),female,27.23,0.86,0.04,440.95,,203784950049_R01C01,38.68,22.15,8.88,40.65,61.51,5.53,1.36,,0.295344381,450.19,1856998.09,698325.07,-163.83,38004.38,12671.67,33782.93,0.6211764705882353,mid,False,True,True,True,True,True,4,,203784950049_R01C01 beta,2.0,,,
230,hFB2,14.0,1,21,NAC,NAC_21,28.06,,Normal,36.0,Primary Human Fibroblast (forearm),female,47.08,,,,,203774260118_R01C01,40.35,28.64,15.6,36.12,59.11,5.53,1.47,,0.299164806,431.78,1864127.55,709264.97,-127.55,39073.78,14884.4,33470.86,0.8252941176470587,late,False,True,False,False,True,True,2,,203774260118_R01C01 beta,2.0,,,
241,hFB1,9.0,1,21,NAC+DEX,NAC+DEX_21,18.13,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,0.78,0.01,510.31,,203774260129_R06C01,57.28,28.66,-0.73,36.22,51.48,5.24,-3.03,,0.609031183,360.22,1629757.23,702456.85,279.0,14362.28,13375.54,33854.4,0.300364479787939,early,False,True,True,True,True,True,4,,203774260129_R06C01 beta,2.0,,,
245,hFB1,13.0,1,21,NAC+DEX,NAC+DEX_21,28.16,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.8,0.0,318.24,,203784950078_R04C01,64.34,21.47,1.46,54.09,49.41,5.17,-2.97,,0.717678262,363.86,1623519.35,700757.31,330.7,21729.99,8496.7,34134.31,0.4665341285619616,mid,False,True,True,True,True,True,4,,203784950078_R04C01 beta,2.0,,,
248,hFB1,16.0,1,21,NAC+DEX,NAC+DEX_21,33.18,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.65,0.04,491.73,,203833030064_R03C01,66.21,22.75,0.41,53.37,50.35,5.16,-0.63,,0.763913515,358.78,1696455.73,716076.95,303.51,26324.6,5668.47,34375.95,0.5497017892644135,mid,False,True,True,True,True,True,4,,203833030064_R03C01 beta,2.0,,,
250,hFB1,18.0,1,21,NAC+DEX,NAC+DEX_21,37.69,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.51,0.02,569.01,,203833040058_R01C01,62.25,31.19,8.16,51.77,48.28,5.26,-2.33,,0.721360551,362.89,1719097.16,708536.08,251.87,28474.94,6888.38,34436.45,0.6244201457919152,mid,False,True,True,True,True,True,4,,203833040058_R01C01 beta,2.0,,,
